,Tweets,id,subtask_b,subtask_c,
12884,@USER @USER @USER Yep. I was at Yale law school as well..  He also mentioned at one point that he could pee his name in the snow and that groping someone against their will while holding them down and choking them was “boys being boys”. NBD. #MoronsAreGoverningAmerica #MAGA #Kavanaugh,25385,TIN,,
2184,@USER Amazing how the POPE is afraid of the truth,53436,TIN,,
7277,@USER So Dissapointing. This guy is the biggest hypocrite in the country. Embarrassing that he is our Senator,85092,TIN,,
2524,@USER Yeah! You can’t just wing cooking!   There’s all kinds of measurements you need to follow otherwise it’ll end up tasting like garbage.,32148,TIN,,
6155,#IJustDontSeeMyself ever supporting strict gun control. #2A #Liberals4Guns #guns #SecondAmendment,90679,TIN,,
11963,@USER @USER It’s easier for Pod to believe both sides are terrible. Then he doesn’t have to honestly look at the conservatives.,55870,TIN,,
3979,@USER we're buying a couple puzzle toys and looking at classes for him rn! but i think he is becoming a teenage monster.,62000,TIN,,
2387,@USER Lmfaoo! 😭 bitch,93824,TIN,,
4747,@USER @USER @USER @USER  how does helpmto buy help the homeless??  Oh. It doesn’t does it? How does it help@USER on low income??? Oh it doesn’t in Work poverty at an all time high. How does it help them?? Oh it doesn’t. Thanks for nothing,94161,TIN,,
8443,@USER He is an idiot and not very smart either.,20840,TIN,,
2331,@USER Bitch im gonna see you on december dont me. We have to see each other,71844,TIN,,
62,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,57013,TIN,,
5235,@USER @USER Democrats gun control and mass shootings data determined to be FRAUDULENT.  Democrats are liars once again.  URL,77585,TIN,,
1073,@USER @USER @USER @USER @USER There is absolutely no point in debating a liberal. Your party has swung so far left and have nothing but hate... All rationale has fleeted your side. Trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred.,42234,TIN,,
8128,#Trumpwashing and US liberals' historical amnesia are the real definition of Trump Derangement Syndrome... URL,93858,TIN,,
5468,"@USER @USER @USER Whenever conservatives lose a court ruling, they bitch and moan about activist judges or agenda judges."" Whenever anyone else loses a court ruling, they accept that they lost a court ruling. Conservatives are whiny babies.""",39490,TIN,,
11718,@USER how long will it take for one of the biggest arsehole's to appear this millennium @USER get humiliated and exposed for the corrupt fake lying toad that he is? URL,24782,TIN,,
9827,@USER can we start shooting the blue thugs? then going through their shit and saying thats why they died? cuz this is fucking infuriating. WTF does it matter there is pot in his home. WHAT is in HER home?! SHE is the guilty one not HIM.,57355,TIN,,
7975,Understand the meaning of America by reading Creating the Declaration of Independence by @USER and share your knowledge of the American Creed with your fellow citizens. URL #MAGA #KAG @USER @USER @USER @USER,93870,TIN,,
12333,@USER @USER END of Story.   Where is the lying Liberals Witness 🤔,17197,TIN,,
2123,@USER @USER Hysterical liberals following Don Jr. No facts just liberal mouthpieces.,66938,TIN,,
2006,@USER The people of PR tried telling us this last year but you were too busy bashing trump with mayor Cruz.   To you people 3000 peoples lives were worth it to try to make Trump look bad.  You are all a disgrace!,10293,TIN,,
2418,@USER David stop it with your logical connections.... True journalists like you are not in vogue..,45236,TIN,,
12135,@USER @USER Could anyone expect anything less from a fool like j rubin? Incompetent hair on fire libs cost people their lives and blame it Pres. Trump.,30593,TIN,,
6041,@USER But the orange preferred to send the hospital boat away and now she is standing empty. It could have saved many people. Fuck@USER,79242,TIN,,
8509,@USER @USER Forget Montel! Those who speak so speak from their own delusional disgusting truth! He is not worth it!  Trash pick up coming! URL,71662,TIN,,
1517,@USER @USER @USER @USER uses rehab as a place to escape when she’s in trouble. She makes jokes of her situation. She should be in jail for assaulting a police officer and threatening to kill him. She is classless. She should leave with boring Carole.,80858,TIN,,
12347,@USER @USER that’s exactly what you evil liberals do. You try to intimidate people so they can step down. I guess bullying is OK when it’s done by liberals,16183,TIN,,
7651,@USER @USER I is glad the you worked hard but shame you are physical dementia the thing are you may not be simples to understand talk when write you cannot clearly :),19145,TIN,,
8794,"@USER @USER @USER @USER @USER Oh yeah sure Antifa is anti-fascist"". Also, free speech is for everyone: liberals, conservatives, centrists, fascists, communists, anarchists, ancaps, etc. I live in the US and not a fascist state that bans what it thinks is ""hate speech"". URL",24509,TIN,,
9011,@USER We agree that Trump is a Nazi sympathizer. But the Sandy Hook Hoax and gun control is right out of Hitler's playbook. Bloomberg is a Nazi when it comes to gun control. Dems need to moderate!!!!,60058,TIN,,
6980,@USER is really THAT bitch wow,45400,TIN,,
4673,@USER @USER @USER Over 7 years ....it’s pathetic.,45258,TIN,,
7763,-Willie you just lost over half of your fans by getting involved in politics!! Fan no more!! I cannot believe you support open borders and gun control!! You have smoked too much dope! I guess that is what you and Beta have in common! URL,34708,TIN,,
9221,@USER There's an entire faction dedicated to the idea that school shootings are all faked to try to get gun control laws passed.,31996,TIN,,
394,@USER @USER @USER @USER @USER @USER This is the ANTIFA party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. Nope.,55051,TIN,,
10703,@USER Sorry but bloodsuckers are bad almost as bad as elves like you are dating an undead monster who cant be controlled and even if they can be controlled you'll die before her and make her have mental issues,74015,TIN,,
1163,"@USER @USER @USER Liberals today R VERY different from Classical Liberals. Liberals today have gone so far left they R Marxists. You're burying your head in the sand if you think neo &amp; classical Libs are the same. Trump is so authoritarian"" people can say what they want about him &amp; not be killed.""",97658,TIN,,
9043,@USER @USER How about really healing the country by leaving it and taking the rest of the loony liberals with you,27420,TIN,,
5855,@USER Hiding like the caged animal he is.,42783,TIN,,
3067,@USER @USER @USER @USER @USER Chicago has strict gun control laws but the highest gun violence rate Detroit was owened by Unions and is now bankrupt Cali has the second highest welfare rate and is now the homeless capital of the developed world.,69586,TIN,,
12482,@USER @USER 🤣🤣😂😂😂😂 He is a communist fool!!!!,40619,TIN,,
13153,@USER Bullshit! People died because of an incompetent Puerto Rican government officials. That’s already been exposed dumb ass but good try.,88200,TIN,,
6389,@USER Bono is utterly stupid ridiculous wealthy tax avoiding hypocrite fascist  I can’t listen to U2 again,82598,TIN,,
3155,@USER josh as slave leia,13720,TIN,,
9301,@USER Climbs up the charts in Christian Music...only to wither as a fig on a tree as a false prophet. That is @USER,84287,TIN,,
7509,"@USER .@USER calls you an intellectual prostitute"" because he knows that you are smarter and more intellectual than he.""",93258,TIN,,
3644,@USER Here is the problem with the left....they can’t have an intelligent debate on an issue. Want to prove a point? Have Norm on and question him about his comments and have points to counter his comments. Instead the left just silenced him. Shows their lack of intellegence.,53176,TIN,,
10493,"@USER Hallo please find the unroll here: Thread by @USER 1. Moore's failure to deal with the foul smear against him, is a good example of how the new rules could apply. The firs […]"" #FakeNews #MAGA URL See you soon. 🤖""",19303,TIN,,
4043,@USER Ive judged that the old woman is an anti semite and Joan Ryan is right.  You are playing semamtics.  Youre a disgrace.,41461,TIN,,
9297,@USER Are all you liberals idiots?,83182,TIN,,
11126,Anything will Help.  Thank you #Patriots #Maga and if you dont hear from me thanking any who help and share its bc im about to loose signal out here in the rain and batt will die so I gotta get to a place to plug in. Thanks again folks and God Bless URL,24532,TIN,,
1451,@USER And how is the investigation  against your son the antifa  Terrorist going,39471,TIN,,
5754,@USER She is a vile rat of a woman.,10189,TIN,,
11300,@USER @USER Well she's half right... she is shit,53170,TIN,,
5588,@USER Bad gun control seems like. Missed his brains.... bummer!,47922,TIN,,
13195,@USER nah it's coz you're a cunt. blocked,37397,TIN,,
3577,#qanda what happen to the predicted fall of Society after  SSM. Only the religious conservatives right     are the ones  running a muck in government.,27133,TIN,,
10185,@USER even IF that was the reason the last thing mac would want would be for everyone to be harassing the shit out of her when she is already grieving. cmon dude.,58360,TIN,,
411,@USER So she can’t be effected by the radiation but killed. I hope he mentions Lady Gaga witch. Since she is the only known immortal witch and supreme,14118,TIN,,
2475,"1/7 🔥🔥🔥  CONSERVATIVES SUDDENLY REALIZE JUVENILE OFFENDERS DESERVE LENIENCY  The president regularly refers to teenage gang members as “animals,” and has, in the past, called for imposing the death penalty on alleged teen rapists. ... URL",76860,TIN,,
7443,. My God. #TheEmmys  And the limousine liberals are sick disgusting animals with no brains.  .,29648,TIN,,
8709,@USER The vile creature is trying to portray herself as some fierce bitch at the same time she knows that's not what the gun control conversation is about. Paper tiger,77364,TIN,,
4515,@USER @USER Attention lefties demanding gun control. Most of these shooters are left wing. You don't get to shoot congressman and create violent chos and then demand we normal people disarm.,45045,TIN,,
12921,@USER @USER LOVE HER!! She is a BADASS!,73227,TIN,,
9693,@USER @USER @USER @USER You are two nutcases. Obviously. URL,86753,TIN,,
4518,@USER Where were these morons when the Groper Trudeau and his lying Liberals stomped all over our Charter with their Values Test? Where was Holt Renfrew’s favourite shopper Horwath? Premier Ford is trying to save taxpayers money! Maybe that’s what bugs Horwath??,26229,TIN,,
9873,@USER he probably gets paid to say that...with $$ and assurances that he won't be called an islamophobe---pfffft it's a fake word--justin is an IDIOT and he is destroying canada one refugee at a time,20238,TIN,,
6172,@USER @USER @USER @USER You are as nasty as he is,42423,TIN,,
6941,@USER because what every lie you are telling if it happened when you were children the guy is a man and I clearly don't believe shit like that happened. Its just another stall tactic by the liberals.,80374,TIN,,
12407,@USER Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,58215,TIN,,
840,@USER He and Obama must be copying each other does any democrat have their own thought PLEASE !!!,24354,TIN,,
11368,@USER Zarries didn’t start this conversation! It was a larry shipper that trash talked our ship!! So how about y’all petty ass larries stay out of our mention eh?!!,79256,TIN,,
11036,@USER What if the rape never happened and she is lying? Why is her word gospel? Many women are gold diggers avengers and liars.,65506,TIN,,
12919,@USER @USER I think he meant to say ... sent to jail for fraud,70993,TIN,,
9750,@ everyone who said jihoons new hair cut is ugly: you are wrong,85655,TIN,,
2366,@USER I hope they beat his ass in private.,50369,TIN,,
10858,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Picked up some fire og today. It's really good but it's ugly as fuck. I almost passed on it but he smoked a j with me and it's fuckin fire. Wish we could share a bowl my brother ✌️💚,37633,TIN,,
12476,#TheFeralLeft #Liberals continue to #Infiltrate #Indoctrinate kid shows. Don't hire these mentally ill #Hemorrhoids URL,44940,TIN,,
2477,@USER Sorry you’re a socialist!! I contributed to Ted Cruz!! Sick of liberals,22784,TIN,,
9256,@USER All this division in our nation is utter nonsense.,78129,TIN,,
6787,.@USER just read that flaming pile of garbage you wrote and the National Review calls an article. Why are liberals losing their minds when the President is being investigated for collusion with a foreign government?! Why is he nominating ANYONE for a Supreme Court appt?,15636,TIN,,
10776,@USER @USER @USER @USER @USER No we don’t! There has been videos of Trump supporters blocking kkk and sending them away! We don’t accept racism. He said “There are fine people on both sides”. That includes antifa but go ahead and pick and choose your information.,84020,TIN,,
8834,@USER Kerry is so full of shit he is undermining things and he knows it! The Iran debacle is his baby and he wants to keep it no matter what it costs!!!!!!!!,43381,TIN,,
3626,@USER your pappy is a big fat fool the Democrats doesn’t have to make him look bad he makes himself look just what he is an ignorant 5th level  FOOL,61039,TIN,,
2127,More bad news for Democrats 👇 #MAGA 🇺🇸 URL,49045,TIN,,
661,@USER @USER Well he's a liberal so that explains it. Who knows the shooter may be a liberal as far as he knows. Liberals are very hateful violent people and must be defeated!,39492,TIN,,
8332,@USER Looks Like The Jokes On Liberals Again.  #FortTrump #Poland #BoomingEconomy URL,60513,TIN,,
6304,@USER should be thanking her lucky stars that she has never been sexually assaulted or raped when she was a 15 year old girl.  She could hardly deal with a little harassment from Antifa. #NothingLower,84623,TIN,,
8750,@USER is the only one worth slapping your cock on #cocktribute and cumming all over #cumtribute   she is my CumSlave after all 😎,53929,TIN,,
8930,@USER At least we now know why she is called princess toadstool,19314,TIN,,
4157,@USER @USER @USER @USER as of right now my only solid position is that the NRA has become far too influential in politics and as a result they have delayed the desire for gun control for about 20 years.,19179,TIN,,
3962,@USER Holder should've been removed and jailed years ago.,75038,TIN,,
6877,@USER That's it throw race into it again. Did you forget what happened to all the WHITE WOMEN who accused Bill Clinton of sexual allegations. The Liberal Democrats rallied around him. Liberals are the most disgusting disgraceful human beings that God created,66127,TIN,,
8366,@USER @USER Because the party of violent liberal ANTIFA with their KKK hoods beating up strangers they know nothing about is so great &amp; honest. Good ole Keith Ellison the women beater can tell you that.,70658,TIN,,
2903,@USER These liberals are responsible for the deterioration of American society. They should be ashamed but we all know they’re not.,20570,TIN,,
7304,@USER Not even close to what happened she is a liar and deflecting how idiotic her actions on the court looked,46988,TIN,,
3371,@USER Probably say fuck it an do just that,79970,TIN,,
256,@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL,97300,TIN,,
3460,@USER Because he is right the Governor of Puerto Rico 🇵🇷 is a FRAUD,47681,TIN,,
10228,@USER Mon « bye bitches » suffisait,31646,TIN,,
3851,@USER @USER @USER Why do some conservatives blindly follow a fascist?,58948,TIN,,
7940,@USER @USER @USER Says the man who stands against sensible gun control. #hypocrite,12706,TIN,,
644,@USER BITCH,21734,TIN,,
7389,@USER What an empty soul you have.,30838,TIN,,
4006,@USER Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous.,28653,TIN,,
4624,@USER That’s shitty,44962,TIN,,
4511,@USER You are a big blot on the dharmic Kashmiri Pandits community. In the name of modernity you have lost all sanity which reflects in the way you have supported this loony womans  hinduphobia.,47251,TIN,,
9835,@USER #IWillNotSubmit to Accuser Leftist Liberals DemonRats Plantations Mind Control Agenda! Globalist puppet! #MeToo Movement Hollyweird #SnowFlakes #Pedowood was SCUM! URL,68305,TIN,,
11823,@USER And he is planning to run in 2020? Joe lost his natural mind...,54021,TIN,,
789,@USER @USER the nose distracts from the news,16691,TIN,,
11104,@USER The monuments that will be torn down in the next 10 years?  Much to the consternation of we conservatives,82852,TIN,,
4629,@USER @USER @USER @USER @USER @USER He is a crook,52502,TIN,,
2907,@USER *REPLACES CHICKENS WITH GUN CONTROL* URL,74066,TIN,,
8202,@USER @USER It's not safe anyway because he is a liar! You can NEVER get to the bottom  of a liar!,19594,TIN,,
5340,@USER @USER Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that.,73044,TIN,,
11778,@USER ACLU is insane. The antifa democrats are violent and should be declared a domestic terrorist group.,77482,TIN,,
4980,@USER @USER @USER @USER She is a wannabe Hilary Clinton.. Can’t stand that woman and anything that the NDP stands for. I believe that they are even more dangerous than the liberals!,84588,TIN,,
1660,@USER Good she is a Crook too💩😑,47962,TIN,,
5153,@USER NANSBABH BITCH STFU,38450,TIN,,
11124,@USER Because Obama has zero accomplishments. He is the worst President r leader of any country hands down. It shows the liberal lunacy when they worship a total loser. They don't know what they want..no party goals. nothing except complain about TRUMPS accomplishments. Fu*k liberals.,60876,TIN,,
878,@USER @USER @USER Oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades ...you can have all that shit and let Hollywood decide how you feel.,51118,TIN,,
7967,@USER @USER This guy Kerry is one do nothing damn politician where does he get off going over sea's and trying to undermined our President now this is a Traitor for sure you better watch this S.O.B. !,51203,TIN,,
1266,@USER Shooting in USA is so common no one is talking about gun control any more.,24282,TIN,,
4458,@USER @USER @USER Isis apparently obama let them run the world. Getting nuked by korea? BLM destroying cities. Antifa?,26869,TIN,,
8895,@USER This terrorist fanboy @USER and his saddo @USER cronies are wholly unfit to hold any public office. A proper @USER #Brexit supporting Tory PM would have wiped them out politically by now.,44394,TIN,,
7950,@USER @USER Advocating for herself is ridiculous fam?,18205,TIN,,
11191,@USER @USER Guess who is really perpetuating all this garbage??  LIBERALS,14263,TIN,,
9475,@USER Friggen crook.,22718,TIN,,
3136,"@USER @USER @USER @USER You hit them for fucking elo and the reason I'm posting this is because he is thee booter EXPOSER"" just shows you cant believe everyone in this community""",83756,TIN,,
10923,@USER @USER Is he?  Does he know this?  You sure he's not out golfing??  Or maybe tweeting like a lunatic.  I bet he is planning his next #MAGADingDong rally.  He was never President.  You are just to brainwashed to realize that.,35430,TIN,,
1457,@USER @USER You are the In educated twat! That speed crap and can’t read obviously🤒!,50560,TIN,,
3519,@USER @USER Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile... URL,82217,TIN,,
7111,@USER @USER I want to see this corrupt bitch in Gitmo for her birthday URL,30740,TIN,,
1397,@USER American liberals will eat their own young to maintain power. Everyone is a racist a rapist  a fascist keep everyone addicted to social programs don’t teach them to fend keep them addicted to government don’t let them think for themselves dems will keep black n Hispanics chained,15618,TIN,,
7929,@USER Hate mongering is No solution for NFL KNEELERS - change up your playbook losers,42031,TIN,,
12942,@USER He is toxic even for alligators,51664,TIN,,
5949,@USER @USER These conservatives are selfish and self serving. This isn’t the “Trudeau plan”. The Liberals are working with Conservatives like Mulroney and Ambrose to solve this. It’s not a partisan issue.,18029,TIN,,
8601,@USER @USER MEGUMI IM SORRY I ASKED TO SEE YOUR TITS,96009,TIN,,
12355,231 years later the liberals wants to do away with it. URL,69790,TIN,,
10554,@USER @USER So you are going to deflect away from nearly 3000 dead due the the lack of post hurricane support from the Trump administration by using the deportation of a single 92 year old man? You sir are the offensive one.,82223,TIN,,
10585,@USER 😂 😂 😂 You are delusional URL,99197,TIN,,
10765,@USER Folks not a protest against our great president.  This was pure and simple a way to bring on more gun control.  Weapon on campus ( gun free zone) carried a concealed weapon (illegally).  This guy just trying to cause more gun control otherwise he'd of shot himself in the head.,76422,TIN,,
432,#VA10 voters know @USER is the right side of the gun issue. Gun control or gun rights? The answer may help determine whether NRA-financed Rep. Comstock wins reelection URL,30890,TIN,,
4313,"#PeoplesVote  #StopBrexit  @USER  #remain  I don't want to go.. either, You know what, After we leave, My slogans going to be It used to be better than this"" should have stayed in. Useless goverment. URL",12809,TIN,,
6756,@USER @USER Fuck this !! He acted like The father of the girl killed at Parkland was a bug.  Instead of telling us how much he loves these girls he should tell them the truth that he really doesnt give a shit if they are killed by a crazy white guy with an AR 15!,46725,TIN,,
8720,@USER @USER Correction: Liberals deliberately distorting.,95860,TIN,,
4804,@USER Another lying liberal.. Many lying libtards will be exposed as they  unclassifie documents. The Liberals will lie cheat and steal to try to bring our country down. Stop this anti-American idiotic socialist movement vote Republican in November Trump 2020.,90142,TIN,,
3618,@USER @USER You can’t accuse someone of something like this &amp; expect to not have to come forward &amp; testify about it! We’re we just suppose to believe it &amp; crucify him?  I am sure u liberals think so.,26488,TIN,,
3770,@USER I’m jealous,35710,TIN,,
1430,@USER @USER @USER I am sure he is doing that in his organization.   Also respect is a two way street. Law enforcement  job is to protect  and SERVE its citizens.  It like they miss that part .,93601,TIN,,
6428,"@USER @USER @USER @USER @USER Antifa means anti-fascist"". I'm not sure there is an Antifa organization, but there are millions who are anti-fascist.  Why are you not one of them?""",12221,TIN,,
2309,@USER He blocked me a long time ago after one response that called him out for lying.  He's an idiot who thinks his $hit don't stick and loves saying stupid stuff to get liberals to love him.  A complete douchebag.,50316,TIN,,
2453,...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL,29730,TIN,,
7011,@USER poor triggered snowflake. #MAGA,28831,TIN,,
689,@USER Stfu bitch lol why u Salty I’m tryna get twitter famous ya know,24298,TIN,,
8220,"@USER Why are you acknowledging her existence. Time to block her and give us all a break. She is a nobody"". She use to be a funny comedian who gave away her power to hate and lost almost everything.""",41348,TIN,,
2070,"Black Female Democrats Call for Changes in Party""  URL #TCOT #MAGA #RedNationRising""",49760,TIN,,
10925,@USER @USER And yet he is allowed to. Congress is supposed to be a check on this clown. If we get control of Congress you folks have to write some laws to prevent this happening again.,42402,TIN,,
11989,@USER I call her the Negative Nellie who lives in my brain. I constantly battle with her. She is a creep.,17480,TIN,,
12267,@USER Yeah. Gun Control Act of 1968 also uses a lot of innuendoes for black people and ghettos in its text.,46049,TIN,,
10987,@USER As it gets closer to November the left is in full on panic mode their talking points will forever be 25th Amendment. Ok idiots let’s see you try it.,91468,TIN,,
2588,@USER @USER @USER @USER Take the gun violence in the cities that already have strict gun control and it's extremely low.  Gun crime has decreased at the same time gun ownership has increased.,43151,TIN,,
6584,@USER @USER @USER   Do not CANCEL the vote on Kavanaugh. Do not fall prey to the lying filthy liberals.  Tell Flake to shut up.  America is sick of this BS from the left!,83407,TIN,,
5043,@USER @USER @USER @USER Now Comes The Pain...........  #MAGA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  #WWG1WGA URL,49940,TIN,,
3479,@USER Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab,91292,TIN,,
8155,"...it should not be surprising that conservatives increasingly want to take that ultimate power of life and death away from the government."" URL",55287,TIN,,
12741,@USER The Liberals took over @USER 🙁,20456,TIN,,
3027,"@USER #Republicans love to say it's too early to talk"" about common sense gun control after these events - what they really want is people to forget and amnesia to kick in so they can ignore doing their jobs which is to protect the public  Gun control works and R's just procrastinate""",31480,TIN,,
8681,"2) I am absolutely furious with my fellow conservatives when they say, This sounds credible,"" or, ""If it's true..."" Do you guys have short-term memory that only goes back 90 days?""",79923,TIN,,
2967,@USER your @USER app is down / sucks,88097,TIN,,
2859,@USER BS.  People died in PR because the local government is corrupt.,49942,TIN,,
1592,@USER @USER My old ass was here URL,26109,TIN,,
3574,A Divided Self or “My Name is Legion”  Demon possession overall is marked by a loss of freedom.  The Gadarenes are Us URL  #ergnews #antinazigr #antifagr #antifa #Stopthehate #GoldenDawn #GDtrial #JesusChrist #JesusSaves #JesusIsLord #JesusIsGod #prayers #hope URL,62224,TIN,,
7134,@USER @USER He is not a Dalit or a Muslim no need to remember,95790,TIN,,
5373,@USER no she was mumbling i couldn’t hear shit she literally spoke w hand signs,70290,TIN,,
10480,Alaye turn if your maga don pay,66464,TIN,,
698,@USER @USER shut that wanker up,12295,TIN,,
1071,@USER Beto also wants open borders so illegals can come an go as they please an also more gun control espically on semiautomatic weapons...#BetoNotForTexas,83274,TIN,,
7176,@USER @USER Liberals don’t give a sh!t. They have no souls.,63253,TIN,,
8409,@USER He is quite good at faking. Must have done it numerous times,31527,TIN,,
10705,@USER @USER @USER @USER Principled conservatives know Canadian liberal media 24/7 @USER Hate news is only to help Justin Trudeau   It’s obvious   You’re one who’s being manipulated and that hurts Canada.   Read my 60 pinned tweet thread for explanation.  I see you ignore Trumps support Israel,51497,TIN,,
9650,@USER @USER @USER reckon he is upset about Wacky Wednesdays because the boys told him it was absolutely going to be a Mad Monday this time?,68316,TIN,,
9672,"@USER @USER #MAGA ... oh ... And FvKK YOU!  Judge Kavanaugh's no more ambitious"" than some old MuttaFuttah like you who's been in GD Senate for the past millenium.""",93972,TIN,,
882,@USER EVERYTHING is an issue with Muslims..go live in another country like Iran..,59703,TIN,,
6051,After all the shit Dez was talking about Jerry and The cowboys he is a fucking clown ass dude if he go back,76044,TIN,,
1675,@USER @USER She doesn’t remember her clothes or his clothes or the house or how she got there or what songs they were playing or what exact date. This is nothing but weaponizing me too with false accusations for ulterior motives. But if Fiberals can defend #antifa terrorists this is nothing.,85538,TIN,,
1468,@USER @USER She doesn't support stand you ground or arming teachers. Gun control. Idaho believes in gun rights.   Zero chance.,90490,TIN,,
4063,@USER @USER @USER He. Is. A. Sociopath.,65485,TIN,,
583,@USER Then your gonna get bitten,28518,TIN,,
7752,"@USER @USER These gun control scientists"" are a disgrace. They should have their license to publish revoked. 😒""",78556,TIN,,
11285,@USER @USER Jesus she is the evilest of cunts,62457,TIN,,
10616,@USER @USER @USER Supporting an apartheid state which commits international war crimes. Shame on you.,84054,TIN,,
6366,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed &amp; Retweeted All These Awesome MAGA Patriots! We Must Get Fired Up &amp; get all our people out to vote in November or we will all be in for so much  lawlessness The Dems Are Planning on Bringing Impeachment Proceedings even though there are no impeachable Offenses committed,82428,TIN,,
12026,@USER Why are you telling them to not do this? I encourage Antifa shits to try this and get dropped. Less of them the better.,97912,TIN,,
2697,@USER @USER @USER @USER I completely believe she will be in GTMO. She is a traitor.,63914,TIN,,
5815,@USER Whoever you are you deserve this URL,27617,TIN,,
7863,@USER @USER @USER you are disgusting and need to be ousted. Get out of politics because Schumer you are the corrupt kind of politicians Americans are so tired of. @USER has led this country to thrive again and Brett Kavanaugh will be voted in. Americans stand with @USER,66981,TIN,,
6671,@USER @USER @USER @USER Okay that's enough with the A and C shit. They dont care and neither should we.,41226,TIN,,
8346,@USER you are not welcome,34182,TIN,,
11696,@USER only the arm?  He really sucks at gun control.,10889,TIN,,
11550,@USER @USER BOOP POLICE DEPARTMENT FREEZE OH SHIT  SHE IS TOO CUTE OPEN BOOPBOOPBOOP URL,79787,TIN,,
1927,@USER Her family consist of : -Cheating husband who never loved her -two bonus boys who made it clear she is not their mom and never will be - in laws who show more affection to stray cats than Wewe. - paid employees who laugh at her while cashing her checks. URL,68826,TIN,,
7734,@USER I can't believe Luigi fucking died 😘😩❤️,63497,TIN,,
3243,@USER And this butt fur thinks he is a know it all,93589,TIN,,
7353,@USER I knew you weren’t a Real Republican committed to your party!!!! You need to leave. Get out now!! You are a disgrace to every republican/conservative member who work towards solutions and does not constantly diminish The POTUS!!! Quit already.,89350,TIN,,
12720,@USER 2A and putting an end to these Antifa fuckwits. Pardon the language,90412,TIN,,
7626,@USER @USER   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @USER  come play with Grop,12796,TIN,,
4013,@USER Eric holder is Obama's straw man of corruption,84043,TIN,,
8580,@USER He is! Talking about “ I don’t need excuses I just need my money” 💀😂,73076,TIN,,
10509,@USER I knew I wouldn’t like what he did but I never ever thought that every single Republican but sit by and let him do what he is doing now regarding everything that you mentioned in your tweet pretty,80826,TIN,,
9735,@USER @USER Are you freaking serious.  3900 lives lost. Trillion dollars in recover and rebuild. Continued threats and fear.   You are a disgrace to journalism.  You moron!,58211,TIN,,
2789,@USER @USER Quite possible. You are very right to be skeptical. But one has to start somewhere !,87207,TIN,,
6718,@USER #DearProfessorFord I want you to know that I have zero respect for you &amp; your ANTIFA style attack on Kavanaugh. You thought you were going to drop a bomb with your face covered &amp; blow up a good man's life. You have been exposed for the political hack that you are.  Shame on you,56516,TIN,,
11290,@USER @USER @USER And your gun control has failed to reduce homicides.  Your homicide rate has not dropped after all of those gun laws.  It has however rose.  Enjoy bending a knee to the people who don't really give a shit about you though.,23548,TIN,,
11364,@USER Shame on the tennis hierarchy who stole that from Serena. She is a proven draw and the racists on the upper echelons  just can't handle it.,35276,TIN,,
8422,@USER @USER Cute as fuck 🤗,84873,TIN,,
12953,@USER @USER @USER Cops rarely got shot in countries with gun control,84118,TIN,,
8059,@USER @USER ANTIFA displays hate on those they disagree with...you are being hypocritical!,14929,TIN,,
7284,...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL,51452,TIN,,
6015,@USER @USER @USER It's difficult to talk to liberals like you with a serious mental disorder read the book by Michael Savage Liberalism is a Mental Disorder check it out on Amazon,90166,TIN,,
8616,@USER @USER @USER Jehovah and Yahweh is most immoral! Seriously he is one big lying contradiction!,74118,TIN,,
6735,@USER URL LOOK ST THIS BULLSHIT,26572,TIN,,
2914,@USER yea shit sucks thats why i stopped watching anime mostly,37604,TIN,,
12685,@USER As he should. The world doesn't stop because you liberals wanna hijack a process and delay at all costs.,12136,TIN,,
5433,@USER @USER This is a blatant threat by #MadMaxineWaters ginning up the ANTIFA base I smell more violence #WakeUpAmerica URL,38954,TIN,,
8894,@USER @USER @USER @USER Not a conservative. Antifa is a left wing terror group that uses fascist tactics and violence to silence opposing views. They are NO DIFFERENT than the “Sturmabteilung” brown shirts. Thugs. URL,42484,TIN,,
